2010,5,Eastern Michigan,20,Ohio State,73
2010,5,FIU,28,Maryland,42
2010,5,Fresno State,38,Mississippi,55
2010,5,Georgia,12,Mississippi State,24
2010,5,Idaho,34,Colorado State,36
2010,5,Kentucky,14,Florida,48
2010,5,Memphis,13,UTEP,16
2010,5,Miami,13,Missouri,51
2010,5,Miami,31,Pittsburgh,3
2010,5,Middle Tennessee State,34,Louisiana-Lafayette,14
2010,5,Nevada,27,BYU,13
2010,5,New Mexico,10,UNLV,45
2010,5,New Mexico State,16,Kansas,42
2010,5,North Carolina,17,Rutgers,13
2010,5,North Carolina State,45,Georgia Tech,28
2010,5,North Texas,21,Florida Atlantic,17
2010,5,Northern Colorado,7,Michigan State,45
2010,5,Northern Illinois,34,Minnesota,23
2010,5,Northern Iowa,0,Iowa State,27
2010,5,Ohio,23,Marshall,24
2010,5,Oklahoma,31,Cincinnati,29
2010,5,Oregon,42,Arizona State,31
2010,5,Oregon State,24,Boise State,37
2010,5,San Jose State,3,Utah,56
2010,5,South Carolina,27,Auburn,35
2010,5,South Dakota State,3,Nebraska,17
2010,5,Southeastern Louisiana,20,Louisiana-Monroe,21
2010,5,Southern Mississippi,13,Louisiana Tech,12
2010,5,Stanford,37,Notre Dame,14
2010,5,Temple,13,Penn State,22
2010,5,Texas Christian,41,SMU,24
2010,5,Toledo,31,Purdue,20
2010,5,Tulane,23,Houston,42
2010,5,UAB,29,Tennessee,32
2010,5,UCF,13,Kansas State,17
2010,5,UCLA,34,Texas,12
2010,5,USC,50,Washington State,16
2010,5,Utah State,7,San Diego State,41
2010,5,Virginia Military Institute,7,Virginia,48
2010,5,Virginia Tech,19,Boston College,0
2010,5,Wake Forest,0,Florida State,31
2010,5,West Virginia,14,LSU,20
2010,5,Western Kentucky,12,South Florida,24
2010,6,Alcorn State,16,Mississippi State,49
2010,6,Arizona State,28,Oregon State,31
2010,6,BYU,16,Utah State,31
2010,6,Ball State,31,Central Michigan,17
2010,6,Boise State,59,New Mexico State,0
2010,6,Buffalo,28,Bowling Green,26
2010,6,Cal Poly,17,Fresno State,38
2010,6,California-Davis,14,San Jose State,13
2010,6,Duke,16,Maryland,21
2010,6,East Carolina,17,North Carolina,42
2010,6,FIU,17,Pittsburgh,44
2010,6,Florida,6,Alabama,31
2010,6,Florida Atlantic,3,South Florida,31
2010,6,Florida State,34,Virginia,14
2010,6,Georgia,27,Colorado,29
2010,6,Georgia Tech,24,Wake Forest,20
2010,6,Idaho,33,Western Michigan,13
2010,6,Kansas,7,Baylor,55
2010,6,Kent State,21,Miami,27
2010,6,Kentucky,35,Mississippi,42
2010,6,Louisiana Tech,21,Hawaii,41
2010,6,Louisiana-Lafayette,28,North Texas,27
2010,6,Louisiana-Monroe,3,Auburn,52
2010,6,Louisville,34,Arkansas State,24
2010,6,Marshall,16,Southern Mississippi,41
2010,6,Miami,30,Clemson,21
2010,6,Michigan,42,Indiana,35
2010,6,Navy,6,Air Force,14
2010,6,Nevada,44,UNLV,26
2010,6,Northern Illinois,50,Akron,14
2010,6,Northwestern,29,Minnesota,28
2010,6,Notre Dame,31,Boston College,13
2010,6,Ohio,30,Eastern Michigan,17
2010,6,Ohio State,24,Illinois,13
2010,6,Penn State,3,Iowa,24
2010,6,SMU,42,Rice,31
2010,6,Stanford,31,Oregon,52
2010,6,Temple,42,Army,35
2010,6,Tennessee,14,LSU,16
2010,6,Texas,20,Oklahoma,28
2010,6,Texas A&M,35,Oklahoma State,38
2010,6,Texas Christian,27,Colorado State,0
2010,6,Texas Tech,38,Iowa State,52
2010,6,Troy,42,Middle Tennessee State,13
2010,6,Tulane,17,Rutgers,14
2010,6,Tulsa,48,Memphis,7
2010,6,UAB,7,UCF,42
2010,6,UTEP,38,New Mexico,20
2010,6,Vanderbilt,21,Connecticut,40
2010,6,Virginia Tech,41,North Carolina State,30
2010,6,Washington,32,USC,31
2010,6,Washington State,28,UCLA,42
2010,6,Wisconsin,24,Michigan State,34
2010,6,Wyoming,20,Toledo,15
2010,7,Akron,17,Kent State,28
2010,7,Alabama,21,South Carolina,35
2010,7,Arizona State,24,Washington,14
2010,7,Arkansas,24,Texas A&M,17
2010,7,Arkansas State,24,North Texas,19
2010,7,Army,41,Tulane,23
2010,7,Auburn,37,Kentucky,34
2010,7,Baylor,38,Texas Tech,45
2010,7,Boston College,17,North Carolina State,44
2010,7,Bowling Green,25,Ohio,49
2010,7,Central Michigan,21,Virginia Tech,45
2010,7,Clemson,16,North Carolina,21
2010,7,Colorado,0,Missouri,26
2010,7,Colorado State,27,Air Force,49
2010,7,Connecticut,24,Rutgers,27
2010,7,East Carolina,44,Southern Mississippi,43
2010,7,Eastern Michigan,6,Vanderbilt,52
2010,7,Florida Atlantic,17,Louisiana-Monroe,20
2010,7,Florida State,45,Miami,17
2010,7,Hawaii,49,Fresno State,27
2010,7,Illinois,33,Penn State,13
2010,7,Indiana,10,Ohio State,38
2010,7,LSU,33,Florida,29
2010,7,Memphis,0,Louisville,56
2010,7,Miami,3,Cincinnati,45
2010,7,Michigan State,34,Michigan,17
2010,7,Minnesota,23,Wisconsin,41
2010,7,Mississippi State,47,Houston,24
2010,7,Navy,28,Wake Forest,27
2010,7,Nebraska,48,Kansas State,13
2010,7,New Mexico,14,New Mexico State,16
2010,7,Oklahoma State,54,Louisiana-Lafayette,28
2010,7,Oregon,43,Washington State,23
2010,7,Oregon State,29,Arizona,27
2010,7,Pittsburgh,17,Notre Dame,23
2010,7,Purdue,20,Northwestern,17
